LOAN_ID,PORTFOLIO_ID,PORTFOLIO_NAME,FRAUD_TYPE,FRAUD_CONFIRMED_DATE,LOAN_STATUS,LOAN_CLOSED_DATE,REPURCHASED_BY_HAPPY_MONEY,CURRENT_INVESTOR
123369,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-09,Charged Off,2025-01-09,No,Happy Money
123369,72,Do Not Call,TBD - Needs Business Logic,2025-01-09,Charged Off,2025-01-09,No,Happy Money
85823,88,USAlliance FCU,TBD - Needs Business Logic,2025-01-08,Charged Off,,No,USAlliance FCU
85823,88,USAlliance FCU,TBD - Needs Business Logic,2025-01-08,Charged Off,,No,USAlliance FCU
85823,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-08,Charged Off,,No,USAlliance FCU
85823,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-08,Charged Off,,No,USAlliance FCU
85823,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-08,Charged Off,,No,USAlliance FCU
90603,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-08,Charged Off,,No,Alliant CU
90603,77,Alliant CU,TBD - Needs Business Logic,2025-01-08,Charged Off,,No,Alliant CU
90603,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-08,Charged Off,,No,Alliant CU
90603,64,Enrolled In AutoPay,TBD - Needs Business Logic,2025-01-08,Charged Off,,No,Alliant CU
90603,77,Alliant CU,TBD - Needs Business Logic,2025-01-08,Charged Off,,No,Alliant CU
90603,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-08,Charged Off,,No,Alliant CU
96713,138,Cross River Bank TM,TBD - Needs Business Logic,2025-01-08,Charged Off,,No,Cross River Bank TM
96713,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-08,Charged Off,,Yes - Repurchased,Payoff FBO Alliant Credit Union
96713,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-08,Charged Off,,No,Cross River Bank TM
96713,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-08,Charged Off,,Yes - Repurchased,Payoff FBO Alliant Credit Union
96713,138,Cross River Bank TM,TBD - Needs Business Logic,2025-01-08,Charged Off,,Yes - Repurchased,Payoff FBO Alliant Credit Union
96713,138,Cross River Bank TM,TBD - Needs Business Logic,2025-01-08,Charged Off,,No,Cross River Bank TM
96713,138,Cross River Bank TM,TBD - Needs Business Logic,2025-01-08,Charged Off,,Yes - Repurchased,Payoff FBO Alliant Credit Union
96713,138,Cross River Bank TM,TBD - Needs Business Logic,2025-01-08,Charged Off,,No,Cross River Bank TM
